year,gdp_growth,inflation,unemployment,gdp_per_capita,population,food_production_index,cereal_yield,cereal_production_tonnes,agricultural_land_pct,dietary_energy_supply_adequacy,economic_stress_score,data_completeness_score,latitude,longitude,food_pressure_score,income_group_Low_income,income_group_Lower_middle_income,income_group_Not_classified,income_group_Upper_middle_income,inflation_unemployment,inflation_minus_growth,inflation_squared
2003,8.69420371612468,3.02504526252236,6.95,10.436013284547862,11.148894963697073,78.59,2346.2,14.215575779558884,48.6383,115.0,10.84,35.0,42.5075,1.5218,50.05607128404322,False,False,False,False,21.024064574530403,-5.66915845360232,9.150898840308972
2004,8.13567633837351,3.51799903099596,6.8,10.571883705745698,11.21621610219893,81.17,2446.25,14.181290525089246,48.5319,115.0,13.36,35.0,42.5075,1.5218,49.75588931663062,False,False,False,False,23.92239341077253,-4.6176773073775506,12.376317182088515
2005,5.39779598500422,4.10725070715931,7.092,10.61719226263561,11.257026256916028,82.55,2538.05,14.210716776486588,46.383,116.0,28.21,35.0,42.5075,1.5218,50.53020876463358,False,False,False,False,29.12862201517383,-1.2905452778449096,16.869508371460654
2006,4.80868869916921,4.26717463390264,6.5,10.679784830283404,11.284593476966895,84.46,2523.6,14.301327252191962,46.3404,117.0,37.01,35.0,42.5075,1.5218,50.681274051050046,False,False,False,False,27.73663512036716,-0.5415140652665693,18.208779356222134
2007,1.55318814103222,4.81023704342911,6.002,10.785957863867369,11.312985613487657,86.5,2587.2,14.244692248028295,44.1915,118.0,54.05,35.0,42.5075,1.5218,49.36587611399904,False,False,False,False,28.87104273466152,3.25704890239689,23.138380413977625
2008,-5.126664870034081,8.94995335353387,5.787,10.802296211258156,11.332554005499889,89.09,2677.75,14.234144903093208,44.1702,119.0,60.02,35.0,42.5075,1.5218,50.31055687658784,False,False,False,False,51.7933800569005,14.076618223567952,80.10166503043216
2009,-5.126664870034081,2.8604485590267403,6.674,10.69139931156008,11.337249775397376,90.19,2706.7,14.336258595362068,44.1915,120.0,51.25,35.0,42.5075,1.5218,50.16633301931229,False,False,False,False,19.090633682944468,7.9871134290608214,8.182165958838155
2010,-1.97495799965345,3.32634463368643,7.037,10.66307372200257,11.298580591512366,91.26,2694.75,14.37060271253806,42.0638,119.5,57.61,35.0,42.5075,1.5218,51.74969780204189,False,False,False,False,23.40748718725141,5.30130263333988,11.064568622054512
2011,-0.0080697534113909,4.822396360133251,6.902,10.750602886376685,11.261691033489493,93.28,2776.1,14.290842155843787,42.0638,120.0,56.08,35.0,42.5075,1.5218,52.097083576888814,False,False,False,False,33.2841796776397,4.830466113544642,23.255506654226426
2012,-4.97444371853503,3.72532666110646,6.79,10.633486054890689,11.249415544489432,93.89,2792.7,14.385102848970485,39.9149,120.0,61.15,35.0,42.5075,1.5218,50.44511668107174,False,False,False,False,25.294968028912866,8.699770379641489,13.878058731950606
